"품목별(1)","품목별(2)","품목별(3)",시점,항목,데이터
"비식용원재료(연료제외)","금속성 광석 및 금속 부스러기","귀금속의 광석 및 정광 : 귀금속의 웨이스트",2021. 11,수출액 (천달러),37206
"비식용원재료(연료제외)","금속성 광석 및 금속 부스러기","귀금속의 광석 및 정광 : 귀금속의 웨이스트",2021. 11,수입액 (천달러),131119
"비식용원재료(연료제외)","달리 명시되지 않은 미가공 동식물성 물질","소계",2021. 11,수출액 (천달러),46451
"비식용원재료(연료제외)","달리 명시되지 않은 미가공 동식물성 물질","소계",2021. 11,수입액 (천달러),101069
"비식용원재료(연료제외)","달리 명시되지 않은 미가공 동식물성 물질","달리 명시되지 않은 미가동 동물성 물질",2021. 11,수출액 (천달러),5573
"비식용원재료(연료제외)","달리 명시되지 않은 미가공 동식물성 물질","달리 명시되지 않은 미가동 동물성 물질",2021. 11,수입액 (천달러),34342
"비식용원재료(연료제외)","달리 명시되지 않은 미가공 동식물성 물질","달리 명시되지 않은 미가공 식물성 물질",2021. 11,수출액 (천달러),40877
"비식용원재료(연료제외)","달리 명시되지 않은 미가공 동식물성 물질","달리 명시되지 않은 미가공 식물성 물질",2021. 11,수입액 (천달러),66727
"광물성연료,윤활유 및 관련물질","소계","소계",2021. 11,수출액 (천달러),4225141
"광물성연료,윤활유 및 관련물질","소계","소계",2021. 11,수입액 (천달러),14606766
"광물성연료,윤활유 및 관련물질","석탄,코크 및 연탄","소계",2021. 11,수출액 (천달러),323
"광물성연료,윤활유 및 관련물질","석탄,코크 및 연탄","소계",2021. 11,수입액 (천달러),1965509
"광물성연료,윤활유 및 관련물질","석탄,코크 및 연탄","석탄",2021. 11,수출액 (천달러),59
"광물성연료,윤활유 및 관련물질","석탄,코크 및 연탄","석탄",2021. 11,수입액 (천달러),1940695
"광물성연료,윤활유 및 관련물질","석탄,코크 및 연탄","석탄,갈탄 및 토탄",2021. 11,수출액 (천달러),9
"광물성연료,윤활유 및 관련물질","석탄,코크 및 연탄","석탄,갈탄 및 토탄",2021. 11,수입액 (천달러),5451
"광물성연료,윤활유 및 관련물질","석탄,코크 및 연탄","석탄,갈탄,또는 토탄의 코크 및 반성코크 : 분류카아본",2021. 11,수출액 (천달러),255
"광물성연료,윤활유 및 관련물질","석탄,코크 및 연탄","석탄,갈탄,또는 토탄의 코크 및 반성코크 : 분류카아본",2021. 11,수입액 (천달러),19364
"광물성연료,윤활유 및 관련물질","석유,석유제품 및 관련물질","소계",2021. 11,수출액 (천달러),4070347
"광물성연료,윤활유 및 관련물질","석유,석유제품 및 관련물질","소계",2021. 11,수입액 (천달러),8996777
"광물성연료,윤활유 및 관련물질","석유,석유제품 및 관련물질","원유 및 역청질 광물원유",2021. 11,수입액 (천달러),6618609
"광물성연료,윤활유 및 관련물질","석유,석유제품 및 관련물질","석유와 역청유(원유를 제외) 및 이들의 조제품",2021. 11,수출액 (천달러),3821783
"광물성연료,윤활유 및 관련물질","석유,석유제품 및 관련물질","석유와 역청유(원유를 제외) 및 이들의 조제품",2021. 11,수입액 (천달러),2244628
"광물성연료,윤활유 및 관련물질","석유,석유제품 및 관련물질","달리 명시되지 않은 않은 잔여 석유생산물 및 관련물질",2021. 11,수출액 (천달러),248564
"광물성연료,윤활유 및 관련물질","석유,석유제품 및 관련물질","달리 명시되지 않은 않은 잔여 석유생산물 및 관련물질",2021. 11,수입액 (천달러),133540
"광물성연료,윤활유 및 관련물질","천연가스 및 제조가스","소계",2021. 11,수출액 (천달러),154471
"광물성연료,윤활유 및 관련물질","천연가스 및 제조가스","소계",2021. 11,수입액 (천달러),3644479
"광물성연료,윤활유 및 관련물질","천연가스 및 제조가스","액화프로판 및 부탄",2021. 11,수출액 (천달러),35004
"광물성연료,윤활유 및 관련물질","천연가스 및 제조가스","액화프로판 및 부탄",2021. 11,수입액 (천달러),547195
"광물성연료,윤활유 및 관련물질","천연가스 및 제조가스","천연개스",2021. 11,수출액 (천달러),110348
"광물성연료,윤활유 및 관련물질","천연가스 및 제조가스","천연개스",2021. 11,수입액 (천달러),3093881
"광물성연료,윤활유 및 관련물질","천연가스 및 제조가스","기타 석유가스 및 달리 명시되지 않은 기타 가스성 탄화수소",2021. 11,수출액 (천달러),9020
"광물성연료,윤활유 및 관련물질","천연가스 및 제조가스","기타 석유가스 및 달리 명시되지 않은 기타 가스성 탄화수소",2021. 11,수입액 (천달러),3403
"광물성연료,윤활유 및 관련물질","천연가스 및 제조가스","석탄가스,수성가스,발생로가스 및 유사가스",2021. 11,수출액 (천달러),99
"동식물성유지 및 왁스","소계","소계",2021. 11,수출액 (천달러),8248
"동식물성유지 및 왁스","소계","소계",2021. 11,수입액 (천달러),196395
"동식물성유지 및 왁스","동물성 유지","소계",2021. 11,수출액 (천달러),2865
"동식물성유지 및 왁스","동물성 유지","소계",2021. 11,수입액 (천달러),4814
"동식물성유지 및 왁스","동물성 유지","동물성 유지",2021. 11,수출액 (천달러),2865
"동식물성유지 및 왁스","동물성 유지","동물성 유지",2021. 11,수입액 (천달러),4814
"동식물성유지 및 왁스","불휘발성 식물성기름,조유,정제 또는 분획된 것","소계",2021. 11,수출액 (천달러),2995
"동식물성유지 및 왁스","불휘발성 식물성기름,조유,정제 또는 분획된 것","소계",2021. 11,수입액 (천달러),175880
"동식물성유지 및 왁스","불휘발성 식물성기름,조유,정제 또는 분획된 것","연성불휘발성 식물성기름",2021. 11,수출액 (천달러),2608
"동식물성유지 및 왁스","불휘발성 식물성기름,조유,정제 또는 분획된 것","연성불휘발성 식물성기름",2021. 11,수입액 (천달러),109693
"동식물성유지 및 왁스","불휘발성 식물성기름,조유,정제 또는 분획된 것","불휘발성의 식물성유지,가공하지 않은것,조상,정제 또는 분별한것",2021. 11,수출액 (천달러),387
"동식물성유지 및 왁스","불휘발성 식물성기름,조유,정제 또는 분획된 것","불휘발성의 식물성유지,가공하지 않은것,조상,정제 또는 분별한것",2021. 11,수입액 (천달러),66187
"동식물성유지 및 왁스","달리 분류되지 않은 동식물성유지,처리한 것","소계",2021. 11,수출액 (천달러),2388
"동식물성유지 및 왁스","달리 분류되지 않은 동식물성유지,처리한 것","소계",2021. 11,수입액 (천달러),15701
